Date,Close,Volume,Symbol
2000-01-03,43.5,57710200,INTC
2000-01-04,41.46875,51019600,INTC
2000-01-05,41.8125,52389000,INTC
2000-01-06,39.375,55171200,INTC
2000-01-07,41.0,41096400,INTC
2000-01-10,42.875,53619800,INTC
2000-01-11,44.84375,105481800,INTC
2000-01-12,45.625,97326600,INTC
2000-01-13,45.53125,76104200,INTC
2000-01-14,51.53125,184405200,INTC
2000-01-18,51.0625,102100600,INTC
2000-01-19,50.03125,45568000,INTC
2000-01-20,47.8125,70002000,INTC
2000-01-21,48.96875,55558200,INTC
2000-01-24,49.40625,74832600,INTC
2000-01-25,50.78125,51382600,INTC
2000-01-26,48.25,49306200,INTC
2000-01-27,49.0625,61482000,INTC
2000-01-28,47.0,53922800,INTC
2000-01-31,49.46875,68453200,INTC
2000-02-01,50.71875,48051400,INTC
2000-02-02,50.03125,52080600,INTC
2000-02-03,52.09375,56126000,INTC
2000-02-04,52.375,55953800,INTC
2000-02-07,53.96875,42810000,INTC
2000-02-08,54.40625,38026000,INTC
2000-02-09,52.3125,38615200,INTC
2000-02-10,53.8125,43539200,INTC
2000-02-11,52.9375,37756000,INTC
2000-02-14,54.9375,34374200,INTC
2000-02-15,56.0,62771400,INTC
2000-02-16,53.59375,46050000,INTC
2000-02-17,55.0,48669600,INTC
2000-02-18,52.6875,50370000,INTC
2000-02-22,53.375,45793600,INTC
2000-02-23,54.53125,40842000,INTC
2000-02-24,57.125,85347800,INTC
2000-02-25,56.625,46299000,INTC
2000-02-28,56.1875,47422200,INTC
2000-02-29,56.5,44414200,INTC
2000-03-01,57.9375,40813000,INTC
2000-03-02,57.875,36469800,INTC
2000-03-03,59.625,34285000,INTC
2000-03-06,58.6875,28032000,INTC
2000-03-07,57.875,39924200,INTC
2000-03-08,57.46875,46391200,INTC
2000-03-09,59.1875,38375800,INTC
2000-03-10,60.09375,43497600,INTC
2000-03-13,61.0625,67439200,INTC
2000-03-14,58.9375,56785000,INTC
2000-03-15,60.09375,48895600,INTC
2000-03-16,62.53125,54972800,INTC
2000-03-17,64.9375,60851000,INTC
2000-03-20,67.5,65163600,INTC
2000-03-21,69.21875,51231000,INTC
2000-03-22,72.03125,53693200,INTC
2000-03-23,71.3125,45593800,INTC
2000-03-24,69.53125,46898000,INTC
2000-03-27,71.34375,35766200,INTC
2000-03-28,67.84375,44857800,INTC
2000-03-29,65.9375,61325400,INTC
2000-03-30,63.5,71646800,INTC
2000-03-31,65.96875,58442200,INTC
2000-04-03,65.3125,50071600,INTC
2000-04-04,66.375,87341800,INTC
2000-04-05,64.9375,62101800,INTC
2000-04-06,64.90625,55134000,INTC
2000-04-07,68.40625,51357200,INTC
2000-04-10,65.5625,44849000,INTC
2000-04-11,65.375,53071200,INTC
2000-04-12,60.9375,60169600,INTC
2000-04-13,60.5625,69414600,INTC
2000-04-14,55.25,92800400,INTC
2000-04-17,61.5,88873400,INTC
2000-04-18,64.5,98558000,INTC
2000-04-19,59.53125,87377800,INTC
2000-04-20,57.6875,45799000,INTC
2000-04-24,58.0625,58320200,INTC
2000-04-25,62.5,51342400,INTC
2000-04-26,60.40625,47572000,INTC
2000-04-27,62.65625,61088400,INTC
2000-04-28,63.40625,44336400,INTC
2000-05-01,63.5625,42389800,INTC
2000-05-02,60.59375,43871400,INTC
2000-05-03,59.53125,58988600,INTC
2000-05-04,59.78125,40984800,INTC
2000-05-05,61.6875,34217400,INTC
2000-05-08,58.8125,40937800,INTC
2000-05-09,58.46875,43054000,INTC
2000-05-10,53.03125,97225600,INTC
2000-05-11,57.78125,70267600,INTC
2000-05-12,57.5,38429400,INTC
2000-05-15,59.0625,41105400,INTC
2000-05-16,60.9375,44468400,INTC
2000-05-17,61.59375,65543200,INTC
2000-05-18,61.96875,50141400,INTC
2000-05-19,58.9375,71968000,INTC
2000-05-22,59.1875,59249600,INTC
2000-05-23,54.9375,50385800,INTC
2000-05-24,58.6875,75482200,INTC
2000-05-25,57.59375,50488800,INTC
2000-05-26,58.78125,30851000,INTC
2000-05-30,62.875,41768000,INTC
2000-05-31,62.34375,54089600,INTC
2000-06-01,64.84375,45978400,INTC
2000-06-02,67.09375,42657400,INTC
2000-06-05,66.28125,39176000,INTC
2000-06-06,64.78125,47425200,INTC
2000-06-07,64.46875,39753400,INTC
2000-06-08,63.09375,34394000,INTC
2000-06-09,63.53125,27519200,INTC
2000-06-12,62.53125,25947000,INTC
2000-06-13,65.75,39126600,INTC
2000-06-14,63.21875,37008800,INTC
2000-06-15,64.125,33411000,INTC
2000-06-16,63.03125,44086200,INTC
2000-06-19,68.25,61221200,INTC
2000-06-20,69.15625,58579400,INTC
2000-06-21,69.5,32891400,INTC
2000-06-22,67.03125,29696200,INTC
2000-06-23,67.1875,30321600,INTC
2000-06-26,67.09375,29904800,INTC
2000-06-27,65.6875,33370400,INTC
2000-06-28,66.1875,30631800,INTC
2000-06-29,65.875,47136200,INTC
2000-06-30,66.84375,41431200,INTC
2000-07-03,68.4375,15083800,INTC
2000-07-05,65.8125,42005200,INTC
2000-07-06,68.3125,44906200,INTC
2000-07-07,69.65625,37286800,INTC
2000-07-10,68.90625,31349400,INTC
2000-07-11,69.40625,42782000,INTC
2000-07-12,70.59375,29824200,INTC
2000-07-13,71.59375,45176000,INTC
2000-07-14,73.34375,37471800,INTC
2000-07-17,73.15625,46580000,INTC
2000-07-18,71.5,50683600,INTC
2000-07-19,69.0625,72188400,INTC
2000-07-20,71.34375,60488400,INTC
2000-07-21,69.09375,32086600,INTC
2000-07-24,69.0,39835400,INTC
2000-07-25,70.4375,29623200,INTC
2000-07-26,69.5,46639800,INTC
2000-07-27,68.5,39223800,INTC
2000-07-28,64.5625,55433800,INTC
2000-07-31,66.75,30470700,INTC
2000-08-01,64.625,25001100,INTC
2000-08-02,63.3125,33226800,INTC
2000-08-03,65.0625,34941100,INTC
2000-08-04,62.5625,34939700,INTC
2000-08-07,62.9375,30634400,INTC
2000-08-08,61.625,24900100,INTC
2000-08-09,63.5625,30071900,INTC
2000-08-10,62.0,16678400,INTC
2000-08-11,63.8125,22509600,INTC
2000-08-14,66.9375,25665000,INTC
2000-08-15,67.875,34464300,INTC
2000-08-16,68.0625,24609500,INTC
2000-08-17,70.0625,40495900,INTC
2000-08-18,70.5625,35795600,INTC
2000-08-21,72.0625,46024300,INTC
2000-08-22,72.125,31693500,INTC
2000-08-23,74.625,36177000,INTC
2000-08-24,74.25,23352900,INTC
2000-08-25,72.9375,20844200,INTC
2000-08-28,73.875,42760500,INTC
2000-08-29,74.0625,23023100,INTC
2000-08-30,73.5,21770400,INTC
2000-08-31,74.875,28530700,INTC
2000-09-01,73.9375,18322000,INTC
2000-09-05,69.25,58396000,INTC
2000-09-06,65.703125,62344900,INTC
2000-09-07,67.4375,34716000,INTC
2000-09-08,65.375,29681800,INTC
2000-09-11,64.6875,30507800,INTC
2000-09-12,64.9375,28997300,INTC
2000-09-13,61.25,70068400,INTC
2000-09-14,59.625,50489200,INTC
2000-09-15,57.515625,75675900,INTC
2000-09-18,55.8125,50767100,INTC
2000-09-19,60.375,58855100,INTC
2000-09-20,63.0625,70335900,INTC
2000-09-21,61.484375,57112300,INTC
2000-09-22,47.9375,308734400,INTC
2000-09-25,45.375,130214700,INTC
2000-09-26,43.3125,112681600,INTC
2000-09-27,43.875,80365100,INTC
2000-09-28,44.4375,66739000,INTC
2000-09-29,41.5625,72985600,INTC
2000-10-02,40.125,66785700,INTC
2000-10-03,40.3125,81206500,INTC
2000-10-04,42.0,63726000,INTC
2000-10-05,41.0,52072400,INTC
2000-10-06,39.9375,69734600,INTC
2000-10-09,39.0625,56544700,INTC
2000-10-10,37.5625,68882800,INTC
2000-10-11,35.375,122056600,INTC
2000-10-12,37.125,100212800,INTC
2000-10-13,40.375,80908800,INTC
2000-10-16,35.6875,92057900,INTC
2000-10-17,36.1875,78642100,INTC
2000-10-18,38.1875,16790000,INTC
2000-10-19,41.9375,64250700,INTC
2000-10-20,43.0625,59899600,INTC
2000-10-23,43.3125,43746200,INTC
2000-10-24,42.0,46937000,INTC
2000-10-25,41.3125,53225900,INTC
2000-10-26,44.6875,50811900,INTC
2000-10-27,46.375,50197800,INTC
2000-10-30,45.0,49111200,INTC
2000-10-31,45.0,55793900,INTC
2000-11-01,44.875,47654600,INTC
2000-11-02,46.6875,65511800,INTC
2000-11-03,45.9375,31103600,INTC
2000-11-06,46.5625,24583500,INTC
2000-11-07,46.1875,21043200,INTC
2000-11-08,42.6875,38074100,INTC
2000-11-09,41.375,48864700,INTC
2000-11-10,37.0,94080100,INTC
2000-11-13,38.1875,81393300,INTC
2000-11-14,40.9375,48677100,INTC
2000-11-15,41.5,41961500,INTC
2000-11-16,40.0,39523700,INTC
2000-11-17,41.5,40986100,INTC
2000-11-20,41.125,37495900,INTC
2000-11-21,42.625,36760300,INTC
2000-11-22,41.1875,36702700,INTC
2000-11-24,43.9375,20684000,INTC
2000-11-27,43.9375,52923300,INTC
2000-11-28,42.03125,49700800,INTC
2000-11-29,42.75,61411300,INTC
2000-11-30,38.0625,78955300,INTC
2000-12-01,34.125,1155400,INTC
2000-12-04,32.9375,82755800,INTC
2000-12-05,36.0,75071400,INTC
2000-12-06,31.75,102012000,INTC
2000-12-07,32.3125,68263600,INTC
2000-12-08,34.0,88021400,INTC
2000-12-11,37.4375,73069600,INTC
2000-12-12,36.5,48167200,INTC
2000-12-13,35.5,48719800,INTC
2000-12-14,35.125,33708000,INTC
2000-12-15,32.4375,80843900,INTC
2000-12-18,33.25,38556100,INTC
2000-12-19,33.4375,54732300,INTC
2000-12-20,31.9375,63150800,INTC
2000-12-21,33.125,51590000,INTC
2000-12-22,32.9375,45424100,INTC
2000-12-26,32.875,28436200,INTC
2000-12-27,32.5625,33621500,INTC
2000-12-28,30.9375,49339500,INTC
2000-12-29,30.0625,54053600,INTC
2001-01-02,31.0625,50342900,INTC
2001-01-03,34.234375,78291900,INTC
2001-01-04,33.796875,68769000,INTC
2001-01-05,32.0625,44974700,INTC
2001-01-08,31.9375,45070800,INTC
2001-01-09,32.25,40814400,INTC
2001-01-10,33.0,51494300,INTC
2001-01-11,33.375,64954600,INTC
2001-01-12,32.125,51374500,INTC
2001-01-16,31.375,60301100,INTC
2001-01-17,30.5,7427400,INTC
2001-01-18,32.1875,86633300,INTC
2001-01-19,33.5625,81348900,INTC
2001-01-22,33.375,45756600,INTC
2001-01-23,35.375,84553900,INTC
2001-01-24,36.25,73579100,INTC
2001-01-25,34.5,45890400,INTC
2001-01-26,35.875,48063700,INTC
2001-01-29,37.0625,49092800,INTC
2001-01-30,37.0,60806400,INTC
2001-01-31,37.0,71894200,INTC
2001-02-01,37.8125,50297000,INTC
2001-02-02,35.6875,47151200,INTC
2001-02-05,34.6875,39185100,INTC
2001-02-06,35.4375,40329200,INTC
2001-02-07,34.9375,53148000,INTC
2001-02-08,34.625,42899000,INTC
2001-02-09,33.5,40892100,INTC
2001-02-12,34.5625,30482000,INTC
2001-02-13,32.4375,41910800,INTC
2001-02-14,34.125,47442300,INTC
2001-02-15,35.8125,58334500,INTC
2001-02-16,34.375,41543900,INTC
2001-02-20,31.4375,52397300,INTC
2001-02-21,30.75,51582200,INTC
2001-02-22,30.0,58517400,INTC
2001-02-23,29.9375,63558300,INTC
2001-02-26,29.5,60349600,INTC
2001-02-27,29.0,40787300,INTC
2001-02-28,28.5625,48601400,INTC
2001-03-01,29.125,56268300,INTC
2001-03-02,29.3125,54626200,INTC
2001-03-05,30.375,33275700,INTC
2001-03-06,31.5,59734200,INTC
2001-03-07,32.9375,77832700,INTC
2001-03-08,33.25,64903100,INTC
2001-03-09,29.4375,95273400,INTC
2001-03-12,27.75,59597600,INTC
2001-03-13,29.375,52027200,INTC
2001-03-14,29.0625,57451000,INTC
2001-03-15,28.5,40752100,INTC
2001-03-16,27.875,59068600,INTC
2001-03-19,27.0625,76656300,INTC
2001-03-20,24.625,64431100,INTC
2001-03-21,25.5625,68549500,INTC
2001-03-22,28.6875,94022700,INTC
2001-03-23,28.8125,84795800,INTC
2001-03-26,28.3125,64433900,INTC
2001-03-27,29.375,72645800,INTC
2001-03-28,26.9375,73000000,INTC
2001-03-29,26.5625,64852600,INTC
2001-03-30,26.3125,47297100,INTC
2001-04-02,25.796875,44925500,INTC
2001-04-03,25.0,57239500,INTC
2001-04-04,22.625,84555800,INTC
2001-04-05,25.625,67714900,INTC
2001-04-06,23.625,73965900,INTC
2001-04-09,23.200000762939453,60543900,INTC
2001-04-10,24.770000457763672,55847600,INTC
2001-04-11,27.520000457763672,91360800,INTC
2001-04-12,28.1200008392334,54027200,INTC
2001-04-16,26.299999237060547,59342200,INTC
2001-04-17,26.040000915527344,74191900,INTC
2001-04-18,31.280000686645508,49959200,INTC
2001-04-19,32.4900016784668,85981400,INTC
2001-04-20,32.43000030517578,62659300,INTC
2001-04-23,30.31999969482422,58508800,INTC
2001-04-24,29.139999389648438,50134100,INTC
2001-04-25,29.030000686645508,64640600,INTC
2001-04-26,28.639999389648438,53730100,INTC
2001-04-27,30.18000030517578,42007500,INTC
2001-04-30,30.90999984741211,41266300,INTC
2001-05-01,31.18000030517578,37209500,INTC
2001-05-02,31.940000534057617,45022200,INTC
2001-05-03,30.399999618530273,37080900,INTC
2001-05-04,30.8799991607666,35393400,INTC
2001-05-07,31.15999984741211,33647800,INTC
2001-05-08,31.479999542236328,41514400,INTC
2001-05-09,29.93000030517578,61622800,INTC
2001-05-10,29.010000228881836,49116200,INTC
2001-05-11,27.940000534057617,47531600,INTC
2001-05-14,27.40999984741211,41994500,INTC
2001-05-15,27.200000762939453,47310800,INTC
2001-05-16,28.360000610351562,59906400,INTC
2001-05-17,28.600000381469727,56376100,INTC
2001-05-18,28.760000228881836,34775000,INTC
2001-05-21,29.899999618530273,44417800,INTC
2001-05-22,29.530000686645508,39665300,INTC
2001-05-23,28.799999237060547,53488500,INTC
2001-05-24,29.209999084472656,47217900,INTC
2001-05-25,29.100000381469727,29592100,INTC
2001-05-29,27.850000381469727,37797600,INTC
2001-05-30,26.600000381469727,47272800,INTC
2001-05-31,27.010000228881836,38761100,INTC
2001-06-01,28.739999771118164,60601900,INTC
2001-06-04,28.5,37894700,INTC
2001-06-05,29.729999542236328,51625800,INTC
2001-06-06,29.81999969482422,72646300,INTC
2001-06-07,31.139999389648438,75686000,INTC
2001-06-08,30.670000076293945,68334700,INTC
2001-06-11,30.329999923706055,41072800,INTC
2001-06-12,30.1299991607666,54088900,INTC
2001-06-13,29.059999465942383,41032400,INTC
2001-06-14,27.610000610351562,41913100,INTC
2001-06-15,27.68000030517578,54910400,INTC
2001-06-18,27.549999237060547,27854300,INTC
