Symbol,Security,GICS_Sector,GICS_Sub-Industry,Date_added,Founded
KEY,KeyCorp,Financials,Regional Banks,1994,1825
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,2018,1939
KMB,Kimberly-Clark,Consumer Staples,Household Products,1957,1872
KIM,Kimco Realty,Real Estate,Retail REITs,2006,1958
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2012,1997
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,1997,1975
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2015,1869
KR,Kroger,Consumer Staples,Food Retail,1957,1883
LHX,L3Harris,Industrials,Aerospace & Defense,2008,1895
LH,LabCorp,Health Care,Health Care Services,2004,1978
LRCX,Lam Research,Information Technology,Semiconductor Equipment,2012,1980
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2018,1950
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,2019,1988
LDOS,Leidos,Industrials,Diversified Support Services,2019,1969
LEN,Lennar,Consumer Discretionary,Homebuilding,2005,1954
LNC,Lincoln Financial,Financials,Multi-line Insurance,1976,1905
LIN,Linde plc,Materials,Industrial Gases,1992,1879
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,2019,2010
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2016,1998
LMT,Lockheed Martin,Industrials,Aerospace & Defense,1957,1995
L,Loews Corporation,Financials,Multi-line Insurance,1995,1959
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,1984,1904
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,1999,1877
LYB,LyondellBasell,Materials,Specialty Chemicals,2012,2007
MTB,M&T Bank,Financials,Regional Banks,2004,1856
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,1957,1887
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2011,1887
MKTX,MarketAxess,Financials,Financial Exchanges & Data,2019,2000
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998,1927
MMC,Marsh McLennan,Financials,Insurance Brokers,1987,1905
MLM,Martin Marietta Materials,Materials,Construction Materials,2014,1993
MAS,Masco,Industrials,Building Products,1981,1929
MA,Mastercard,Information Technology,Data Processing & Outsourced Services,2008,1966
MTCH,Match Group,Communication Services,Interactive Media & Services,2021,1986
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2003,1889
MCD,McDonald's,Consumer Discretionary,Restaurants,1970,1940
MCK,McKesson,Health Care,Health Care Distributors,1999,1833
MDT,Medtronic,Health Care,Health Care Equipment,1986,1949
MRK,Merck & Co.,Health Care,Pharmaceuticals,1957,1891
META,Meta Platforms,Communication Services,Interactive Media & Services,2013,2004
MET,MetLife,Financials,Life & Health Insurance,2000,1868
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,2016,1945
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,2017,1986
MCHP,Microchip Technology,Information Technology,Semiconductors,2007,1989
MU,Micron Technology,Information Technology,Semiconductors,1994,1978
MSFT,Microsoft,Information Technology,Systems Software,1994,1975
MAA,Mid-America Apartment Communities,Real Estate,Residential REITs,2016,1977
MRNA,Moderna,Health Care,Biotechnology,2021,2010
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,2013,1878
MOH,Molina Healthcare,Health Care,Managed Health Care,2022,1980
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,1976,1786
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012,2012
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2021,1997
MNST,Monster Beverage,Consumer Staples,Soft Drinks,2012,1935
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,1998,1909
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,1993,1935
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,2011,1865
MSI,Motorola Solutions,Information Technology,Communications Equipment,1957,1928
MSCI,MSCI,Financials,Financial Exchanges & Data,2018,1969
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,2008,1971
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1999,1992
NFLX,Netflix,Communication Services,Movies & Entertainment,2010,1997
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,1989,1903
NEM,Newmont,Materials,Gold,1969,1921
NWSA,News Corp (Class A),Communication Services,Publishing,2013,1980
NWS,News Corp (Class B),Communication Services,Publishing,2015,1980
NEE,NextEra Energy,Utilities,Multi-Utilities,1976,1984
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1988,1964
NI,NiSource,Utilities,Multi-Utilities,2000,1912
NDSN,Nordson Corporation,Industrials,Industrial Machinery,2022,1935
NSC,Norfolk Southern Railway,Industrials,Railroads,1957,1881
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,1998,1889
NOC,Northrop Grumman,Industrials,Aerospace & Defense,1957,1930
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017,1966
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,2010,1992
NUE,Nucor,Materials,Steel,1985,1940
NVDA,Nvidia,Information Technology,Semiconductors,2001,1993
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,2019,1980
NXPI,NXP Semiconductors,Information Technology,Semiconductors,2021,1953
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores,2009,1957
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1957,1920
ODFL,Old Dominion,Industrials,Trucking,2019,1934
OMC,Omnicom Group,Communication Services,Advertising,1997,1986
ON,ON Semiconductor,Information Technology,Semiconductors,2022,1999
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,2010,1906
ORCL,Oracle Corporation,Information Technology,Application Software,1989,1977
OGN,Organon & Co.,Health Care,Pharmaceuticals,2021,2021
OTIS,Otis Worldwide,Industrials,Industrial Machinery,2020,1853
PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,1980,1905
PKG,Packaging Corporation of America,Materials,Paper Packaging,2017,1959
PARA,Paramount Global,Communication Services,Movies & Entertainment,1994,1952
PH,Parker Hannifin,Industrials,Industrial Machinery,1985,1917
PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,1998,1971
PAYC,Paycom,Information Technology,Application Software,2020,1998
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,2015,1998
PNR,Pentair,Industrials,Industrial Machinery,2012,1966
PEP,PepsiCo,Consumer Staples,Soft Drinks,1957,1898
PKI,PerkinElmer,Health Care,Health Care Equipment,1985,1937
PFE,Pfizer,Health Care,Pharmaceuticals,1957,1849
PCG,PG&E Corporation,Utilities,Multi-Utilities,2022,1905
PM,Philip Morris International,Consumer Staples,Tobacco,2008,1847
