Symbol,Security,GICS_Sector,GICS_Sub-Industry,Date_added,Founded
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2002,1980
VTR,Ventas,Real Estate,Health Care REITs,2009,1998
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,2006,1995
VRSK,Verisk,Industrials,Research & Consulting Services,2015,1971
VZ,Verizon,Communication Services,Integrated Telecommunication Services,1983,1877
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2013,1989
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1979,1899
VTRS,Viatris,Health Care,Pharmaceuticals,2004,1961
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2022,2017
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,2009,1958
VMC,Vulcan Materials Company,Materials,Construction Materials,1999,1909
WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks,2019,1869
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1979,2014
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,1982,1962
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,2022,2022
WM,Waste Management,Industrials,Environmental & Facilities Services,1985,1968
WAT,Waters Corporation,Health Care,Health Care Distributors,2002,1958
WEC,WEC Energy Group,Utilities,Electric Utilities,2008,1896
WFC,Wells Fargo,Financials,Diversified Banks,1976,1852
WELL,Welltower,Real Estate,Health Care REITs,2009,1970
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,2020,1923
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",2009,1970
WRK,WestRock,Materials,Paper Packaging,1957,2015
WY,Weyerhaeuser,Real Estate,Specialized REITs,1985,1900
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,1985,1911
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,1975,1908
WTW,Willis Towers Watson,Financials,Insurance Brokers,2016,2016
GWW,W. W. Grainger,Industrials,Industrial Machinery,1981,1927
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,2008,2002
XEL,Xcel Energy,Utilities,Multi-Utilities,1957,1909
XYL,Xylem Inc.,Industrials,Industrial Machinery,2011,2011
YUM,Yum! Brands,Consumer Discretionary,Restaurants,1997,1997
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,2019,1969
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,2001,1927
ZION,Zions Bancorporation,Financials,Regional Banks,2001,1873
ZTS,Zoetis,Health Care,Pharmaceuticals,2013,1952
